channel,net,subnet,universe,netaddress
chan1layer0,0,0,1,192.168.1.41
chan2layer0,0,0,1,192.168.1.41
chan3layer0,0,0,1,192.168.1.41
chan4layer0,0,0,1,192.168.1.41
chan5layer0,0,0,1,192.168.1.41
chan6layer0,0,0,1,192.168.1.41
chan7layer0,0,0,1,192.168.1.41
chan8layer0,0,0,1,192.168.1.41
