channel,net,subnet,universe,netaddress
chan1layer0,0,0,10,192.168.1.42
chan2layer0,0,0,11,192.168.1.42
chan3layer0,0,0,12,192.168.1.42
chan4layer0,0,0,13,192.168.1.42
chan5layer0,0,0,14,192.168.1.42
chan6layer0,0,0,15,192.168.1.42
chan7layer0,0,0,16,192.168.1.42
chan8layer0,0,0,17,192.168.1.42
